pca_group,feature,PC1,PC2,PC3,PC4,PC5,PC6
jng,golddiffat15,0.3460331164086365,0.3955751102951608,0.701785656688926,-0.28041490320464235,-0.3724273021380615,0.11808341632967508
jng,xpdiffat15,0.39890645574164574,0.469896000762818,-0.1929318874111265,0.6857330564447348,-0.11058907146305963,-0.3168420859460265
jng,csdiffat15,0.3878316464284967,0.4383848032778304,-0.43379575776464374,-0.44715703695785686,0.43496140311123394,0.2829943125428399
jng,goldat15,0.4248960231652516,-0.3497646604903611,0.4252606394073607,0.10611978530611169,0.6667901635010145,-0.24578630833741305
jng,xpat15,0.4415427956253345,-0.42172062132367766,-0.10241276872638251,0.28763217377487527,-0.22700742632961096,0.6945780467192133
jng,csat15,0.44184235319222775,-0.36104465743114483,-0.3012647221360493,-0.39647769853408854,-0.404641873695872,-0.51257394206034
mid,golddiffat15,0.4148264004781598,-0.42990708644473297,0.3208738640094858,-0.08373625269695589,0.7267568481383537,-0.07036790145253409
mid,xpdiffat15,0.42017643439429286,-0.3017205680453795,-0.4478778139909961,-0.4844779640853871,-0.3191718200760442,-0.44185108138120777
mid,csdiffat15,0.42568476764872104,-0.30978500483433224,-0.378917349984609,0.5245142130334461,-0.1470320574367645,0.5315202589404336
mid,goldat15,0.4090465296700257,0.00436715040318178,0.7285544053097004,0.008124641263335036,-0.5482736962143124,0.034645162864850115
mid,xpat15,0.38123179925034045,0.585773472171032,-0.10884966599994508,-0.48628376268742035,0.167875708538786,0.4847982604980211
mid,csat15,0.39687095112031534,0.5338803367055361,-0.10113010296860019,0.49660474723542625,0.13981812315061243,-0.530162761773664
